,Uninfected_4hr_STAT,Uninfected_4hr_LOG2FC,Uninfected_4hr_PVAL,Uninfected_4hr_ADJPVAL
Q29RF7,2.448131055195194,-3.088866468486074,0.13308369843476392,0.25762073733702007
E9PAU2,1.1924018303730746,-0.21814098980269048,0.33717927590793156,0.4531517657106596
Q6ZS81,-1.7679855326635505,0.6962981838186422,0.170834543178248,0.29304243389748363
Q96PK6,2.7392324989442924,-1.925915099036193,0.11119815389449754,0.2436255038655916
P22087,-2.915123147605709,0.8264018763970933,0.04933172850731597,0.19157658984742953
Q6JBY9,-1.2548549635777022,0.4446102962261804,0.3236279155910762,0.4405515496110779
A6NHB5,-2.551760556498481,1.6755836795590975,0.07201308368504171,0.2035012588063902
P49736,1.8916077562311384,-0.8189418404434667,0.1988806120366303,0.31743658548199083
Q7LDG7,4.004357895689212,-3.3244827067365117,0.05666635344266812,0.1942610863614138
Q15366,0.047671764054801856,-0.017418985164669554,0.9661482004807945,0.9764730862367073
Q8WU79,4.647912578084496,-0.5642502049803007,0.011286694907069374,0.14753908020454146
P56181,-3.095992942081632,0.83938930435452,0.04046130860499923,0.1856553103576656
Q14669,-3.6191866181582317,0.49568213905935776,0.047369539887914695,0.19141838512469733
Q9UPY5,-1.3902926411303012,1.0242183818961927,0.27291384587719586,0.3899649310163995
O14646,3.345715031842064,-1.6723147662593199,0.043114266386377324,0.1856553103576656
P48634,2.1642271585398922,-1.6231686749180678,0.16100407808083833,0.28789712266997364
Q3V6T2,1.8033288624853727,-1.0167483879721568,0.16802730671066457,0.2930062951731423
O00567,4.358886555576083,-0.6977201379136706,0.04873624057348339,0.19157658984742953
A0A0A0MT60,-4.4125699834560725,1.737974242630313,0.02730220892105294,0.177790483379015
P23634,5.107555511361384,-1.0132705292650834,0.021919054305244434,0.17129335031135468
P52292,-4.067372107943115,1.4405424687195754,0.04992396749179526,0.19214073986369873
Q9BPX3,-2.119766264167697,0.8833989703423395,0.10427401787525147,0.2408958150183729
P07814,-2.9519112576965516,0.7882068302593279,0.0814776249215521,0.21137433022681343
J3QR44,-3.9454305099830362,2.3526962083667735,0.053727945211644555,0.1942610863614138
Q7Z333,1.0584782858165385,-0.3951420594863908,0.39945385064703065,0.5149781821987177
Q8N163,-3.6254106827328902,2.3533229058274365,0.056972928359790675,0.1942610863614138
Q96QR8,-1.0591803138668996,0.21748355610798598,0.37277843744482914,0.49057952370598096
O15117,-0.5158443066008522,0.1510039481764167,0.6368274392830893,0.7276385723216525
Q8NI27,0.04378420559768215,-0.020500988890414185,0.9672174171728523,0.9764730862367073
Q9UHB6,-1.1203198343795728,0.28277635670926227,0.3260314277865052,0.44192268477271474
Q8NBJ5,0.033736991917585585,-0.010644811860513137,0.9760400654192001,0.9838110850483339
Q9BQA1,4.503297367676225,-0.5810689601208294,0.028929573124863422,0.177790483379015
O75122,23.122578250600178,-1.8286069808791892,9.256532533705828e-05,0.058593850938357894
