yourlist:M20210831A084FC58F6BBA219896F365D15F2EB441669B00	Entry	Entry name	Protein names	Gene names	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
A0A024QZP7	A0A024QZP7	A0A024QZP7_HUMAN	Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)	CDK1 CDC2 hCG_40242	animal organ regeneration [GO:0031100]; cell aging [GO:0007569]; cell division [GO:0051301]; cell population proliferation [GO:0008283]; cellular response to hydrogen peroxide [GO:0070301]; chromosome condensation [GO:0030261]; Golgi disassembly [GO:0090166]; mitotic cell cycle phase transition [GO:0044772]; mitotic G2 DNA damage checkpoint [GO:0007095]; negative regulation of gene expression [GO:0010629]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of DNA replication [GO:0045740]; positive regulation of gene expression [GO:0010628]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of protein import into nucleus [GO:0042307]; protein-containing complex assembly [GO:0065003]; response to activity [GO:0014823]; response to amine [GO:0014075]; response to axon injury [GO:0048678]; response to cadmium ion [GO:0046686]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to organic cyclic compound [GO:0014070]; response to toxic substance [GO:0009636]; ventricular cardiac muscle cell development [GO:0055015]	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone kinase activity [GO:0035173]; Hsp70 protein binding [GO:0030544]	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; nucleoplasm [GO:0005654]
A0A024R571	A0A024R571	A0A024R571_HUMAN	EH domain-containing protein 1 (EH-domain containing 1, isoform CRA_a)	EHD1 hCG_23386	cellular response to nerve growth factor stimulus [GO:1990090]; cholesterol homeostasis [GO:0042632]; cilium assembly [GO:0060271]; endocytic recycling [GO:0032456]; endocytosis [GO:0006897]; low-density lipoprotein particle clearance [GO:0034383]; neuron projection development [GO:0031175]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of endocytic recycling [GO:2001137]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neuron projection development [GO:0010976]; protein transport [GO:0015031]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; GTP binding [GO:0005525]	ciliary membrane [GO:0060170]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; lipid droplet [GO:0005811]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; platelet dense tubular network membrane [GO:0031095]; recycling endosome membrane [GO:0055038]
A0A075B7F8	A8CG34	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C)	POM121C	intracellular transport of virus [GO:0075733]; mRNA export from nucleus [GO:0006406]; protein import into nucleus [GO:0006606]; protein sumoylation [GO:0016925]; regulation of cellular response to heat [GO:1900034]; regulation of gene silencing by miRNA [GO:0060964]; regulation of glycolytic process [GO:0006110]; RNA export from nucleus [GO:0006405]; tRNA export from nucleus [GO:0006409]; viral life cycle [GO:0019058]; viral process [GO:0016032]; viral transcription [GO:0019083]	nuclear localization sequence binding [GO:0008139]; structural constituent of nuclear pore [GO:0017056]	endoplasmic reticulum membrane [GO:0005789]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]
A0A087WUT6	A0A087WUT6	A0A087WUT6_HUMAN	Eukaryotic translation initiation factor 5B (Translation initiation factor IF-2)	EIF5B		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]	
A0A087WXI0	Q7Z6P3	RAB44_HUMAN	Ras-related protein Rab-44	RAB44	neutrophil degranulation [GO:0043312]	calcium ion binding [GO:0005509]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	azurophil granule membrane [GO:0035577]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]
A0A087WZV0	A0A087WZV0	A0A087WZV0_HUMAN	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24)	PPIP5K2		5-diphosphoinositol pentakisphosphate 3-kinase activity [GO:0102092]; ATP binding [GO:0005524]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]	cytosol [GO:0005829]
A0A087X0H9	A0A087X0H9	A0A087X0H9_HUMAN	RNA-binding protein 26	RBM26	mRNA processing [GO:0006397]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]	
A0A087X188	A0A087X188	A0A087X188_HUMAN	Deleted.				
A0A087X256	A0A087X256	A0A087X256_HUMAN	WASH complex subunit 4	WASHC4	endosomal transport [GO:0016197]		endosome [GO:0005768]; nucleoplasm [GO:0005654]; WASH complex [GO:0071203]
A0A096LP25	A0A096LP25	A0A096LP25_HUMAN	AP2-associated protein kinase 1	AAK1			
A0A0A0MR66	P98175	RBM10_HUMAN	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1) (S1-1)	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	3'-UTR-mediated mRNA stabilization [GO:0070935]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]	identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; miRNA binding [GO:0035198]; RNA binding [GO:0003723]	nuclear speck [GO:0016607]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
